                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                 1.0972,                0.69415,                 1.3194,                0.97452,                0.98333,                0.97441,                0.59502,                 1.5162,                0.56167,                 1.3538,             0.00054671,             0.00054671,             0.00054671
                     71,                 1.0834,                 0.6711,                 1.2585,                0.97158,                0.98333,                0.96965,                0.61898,                 1.4124,                0.53109,                 1.3069,             0.00054005,             0.00054005,             0.00054005
                     72,                 1.1023,                0.67083,                 1.3046,                 0.9705,                0.96667,                0.96987,                0.60208,                 1.4972,                 0.5621,                 1.3304,             0.00053338,             0.00053338,             0.00053338
                     73,                 1.1494,                 0.6789,                 1.2978,                0.99137,                      1,                  0.995,                 0.6138,                 1.4202,                0.56318,                 1.3055,             0.00052671,             0.00052671,             0.00052671
                     74,                   1.12,                0.67806,                 1.3142,                0.97049,                0.98057,                0.96883,                 0.6239,                 1.3514,                0.53185,                 1.2753,             0.00052005,             0.00052005,             0.00052005
                     75,                 1.0789,                0.69617,                 1.3146,                0.96939,                0.98013,                0.96793,                0.60197,                 1.4288,                0.54865,                 1.3238,             0.00051338,             0.00051338,             0.00051338
                     76,                 1.0759,                0.66298,                 1.2908,                 0.9629,                0.96221,                0.96623,                0.57677,                 1.5528,                0.60052,                 1.4049,             0.00050672,             0.00050672,             0.00050672
                     77,                 1.0929,                0.67264,                 1.2972,                0.96581,                0.97595,                 0.9695,                0.61368,                 1.4273,                0.54671,                 1.3202,             0.00050005,             0.00050005,             0.00050005
                     78,                 1.1085,                0.65359,                 1.3117,                0.96901,                0.98152,                0.96982,                0.64313,                 1.2386,                 0.4986,                 1.2384,             0.00049338,             0.00049338,             0.00049338
                     79,                 1.0821,                0.69998,                 1.3203,                0.96653,                0.98132,                0.97194,                0.64709,                 1.2707,                0.50123,                 1.2545,             0.00048672,             0.00048672,             0.00048672
                     80,                 1.0319,                0.64758,                 1.2808,                0.96311,                0.97883,                0.97305,                0.65266,                 1.2901,                0.50412,                 1.2605,             0.00048005,             0.00048005,             0.00048005
                     81,                 1.1388,                  0.711,                 1.3471,                0.96546,                0.97384,                0.97653,                0.67008,                 1.2077,                 0.4973,                 1.2119,             0.00047339,             0.00047339,             0.00047339
                     82,                  1.107,                0.68523,                 1.3291,                0.96016,                0.98333,                0.97253,                0.64179,                 1.2883,                0.50587,                 1.2385,             0.00046672,             0.00046672,             0.00046672
                     83,                 1.1042,                0.67619,                  1.318,                0.93113,                0.97882,                0.96643,                0.64827,                 1.2543,                0.51471,                 1.2307,             0.00046005,             0.00046005,             0.00046005
                     84,                 1.0516,                0.67499,                 1.2489,                0.94528,                0.97656,                0.97511,                0.59682,                 1.4524,                0.55113,                   1.32,             0.00045339,             0.00045339,             0.00045339
                     85,                 1.0872,                0.69501,                 1.3028,                0.90147,                0.98333,                0.96037,                0.64413,                   1.28,                0.50416,                  1.245,             0.00044672,             0.00044672,             0.00044672
                     86,                 1.0774,                0.67205,                 1.2901,                 0.8936,                0.97073,                0.96508,                 0.6581,                 1.2007,                0.50048,                 1.2129,             0.00044006,             0.00044006,             0.00044006
                     87,                 1.1098,                0.69952,                 1.3038,                0.91253,                0.98333,                0.96984,                0.67303,                 1.1819,                0.48151,                 1.1966,             0.00043339,             0.00043339,             0.00043339
                     88,                 1.0528,                0.62032,                 1.2689,                0.97426,                0.94446,                0.96858,                0.63089,                 1.3554,                0.50226,                 1.2731,             0.00042672,             0.00042672,             0.00042672
                     89,                 1.0951,                0.62583,                 1.2814,                0.96784,                0.98333,                0.97047,                0.65514,                 1.2226,                0.47704,                 1.2112,             0.00042006,             0.00042006,             0.00042006
                     90,                 1.0272,                0.63776,                 1.2469,                0.95997,                0.98333,                 0.9777,                0.63004,                 1.3644,                0.48694,                 1.2877,             0.00041339,             0.00041339,             0.00041339
                     91,                 1.1024,                0.66694,                 1.3074,                0.94024,                   0.95,                0.96569,                0.63897,                 1.3151,                0.48697,                   1.26,             0.00040673,             0.00040673,             0.00040673
                     92,                 1.0163,                0.62236,                  1.264,                0.97181,                0.97757,                0.97278,                0.66802,                 1.2102,                0.46358,                 1.2278,             0.00040006,             0.00040006,             0.00040006
                     93,                 1.0616,                0.66026,                 1.2809,                0.97418,                0.98174,                0.96963,                0.59956,                 1.4646,                0.50274,                 1.3511,             0.00039339,             0.00039339,             0.00039339
                     94,                 1.0736,                0.65492,                 1.2873,                0.97016,                   0.95,                0.97313,                0.62971,                 1.3391,                0.51102,                 1.2834,             0.00038673,             0.00038673,             0.00038673
                     95,                 1.0865,                0.65264,                  1.291,                0.95428,                0.97695,                0.97065,                 0.6475,                 1.2409,                0.50789,                 1.2254,             0.00038006,             0.00038006,             0.00038006
                     96,                 1.0267,                 0.6347,                 1.2583,                0.94229,                0.97872,                 0.9682,                0.58401,                 1.4467,                0.54963,                 1.3205,              0.0003734,              0.0003734,              0.0003734
                     97,                 1.0435,                0.65947,                 1.2593,                0.96962,                0.98333,                0.97729,                0.68741,                 1.1419,                0.47359,                  1.181,             0.00036673,             0.00036673,             0.00036673
                     98,                0.99179,                0.58144,                 1.2187,                0.96631,                0.98333,                0.97795,                0.67892,                 1.1746,                0.46235,                 1.2097,             0.00036006,             0.00036006,             0.00036006
                     99,                0.99183,                0.56853,                 1.2079,                0.96913,                0.96541,                0.97638,                0.69383,                 1.1174,                0.46409,                 1.1854,              0.0003534,              0.0003534,              0.0003534
                    100,                 1.0087,                0.62684,                 1.2352,                0.96879,                0.98333,                0.97417,                0.69451,                 1.1109,                 0.4458,                 1.1811,             0.00034673,             0.00034673,             0.00034673
                    101,                 1.1047,                0.63454,                 1.3101,                0.96583,                0.98333,                0.97652,                0.66715,                 1.2127,                0.46811,                 1.2267,             0.00034007,             0.00034007,             0.00034007
